Meter,WELL Name,Gas Rate Sm3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,GOR,GWR,WLR,Sep. Gas Temp deg C,Sep. Static Pressure psig,DP[Bar],Temperature[C],Velocity[m/s],Quality,GVF[%],GasDen[kg/m3],GasVisc[cP],LiqDen[kg/m3],LiqVisc[cP]
PVT6,LCA-3009,112917.83437592979,26.429684724666718,20.89956993833664,4623.242615807071,5880.826078708702,0.4409679985209622,59.57379542583334,1314.5910846817426,0.020872834166666663,59.57379542583334,5.406857387416665,0.5835304761666666,93.26437288596077,89.99478742126591,1.4494619248083333e-05,656.5062663746488,0.0010164193043470419
PVT7,LCA-3009,112917.83437592979,26.429684724666718,20.89956993833664,4623.242615807071,5880.826078708702,0.4409679985209622,59.57379542583334,1314.5910846817426,0.020872834166666663,59.57379542583334,5.406857387416665,0.5835304761666666,93.26437288596077,89.99478742126591,1.4494619248083333e-05,656.5062663746488,0.0010164193043470419
PVT8,LCA-3009,107998.70390564164,35.84464708269384,23.56248146106888,3156.633374713932,4824.743737172149,0.3961343937334925,59.57379542583334,1314.5910846817426,0.020872834166666663,59.57379542583334,5.406857387416665,0.5835304761666666,92.30875827607194,85.85810898246719,1.435093217095e-05,697.8864290615566,0.0010164193043470419
PVT9,LCA-3009,106374.60044225703,9.582566228464843,6.24005414168387,17015.46038967258,26418.299261724624,0.3934889610711425,59.50892598363637,1314.2349005030842,0.02104151636363636,59.50892598363637,5.406545049818182,0.582840114,98.14757457015689,101.80459335780192,1.6352081453154543e-05,676.24732053249,0.0004529821822018818
RAW_FSF,LCA-3009,93297.68666666666,47.602916666666665,18.85083333333333,2012.7824760582,5090.080199025957,0.2843016408254901,59.774166666666666,1313.6320833333336,,,,,,,,,
SEP,LCA-3009,132751.9491666667,32.32958333333334,10.171666666666665,4107.427571943359,13291.203457939699,0.23871661151052528,45.38958333333333,1306.5283333333332,,,,,,,,,
C1-038,LCA-3010,139940.8369795459,50.30574349634568,25.55611002261432,2793.7931661521857,5498.02097090169,0.3369034008252758,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,93.73513628840401,78.63207272974704,1.4630385940441666e-05,692.7931380101026,0.0004401443339154417
C1-052,LCA-3010,140763.82069418862,48.72445682136624,24.75254326794624,2902.0660535000266,5711.11447613871,0.33690186153091917,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,93.9649878803012,78.63207272974704,1.4630385940441666e-05,692.7931380101026,0.0004401443339154417
C1-08125,LCA-3010,147113.36035200002,36.261108,18.4188168,4092.2006134751136,8053.407420791107,0.3368849996460883,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,95.68869099083334,78.63207272916668,1.4630375000000001e-05,692.7931380083334,0.00044014433333333327
PVT1,LCA-3010,173253.8886348066,6.67130176150848,3.037228484481949,26871.82866244314,58981.659746219084,0.3129222392723218,61.14898709454546,1312.4957560817181,0.03516700490909091,61.14898709454546,7.1029930173636355,0.7892327773636364,99.39400792665282,70.00257735262821,1.4514652289e-05,733.7369724582205,0.00044084391796314555
PVT10,LCA-3010,137914.78534770364,54.240097953694324,27.55546443194112,2552.204288809863,5022.557168592343,0.3369068355364731,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,93.15330013175397,78.63207272974704,1.4630385940441666e-05,692.7931380101026,0.0004401443339154417
PVT11,LCA-3010,138377.75048955617,49.149735399624234,24.898455839916,2827.6944937760377,5580.457362532171,0.3362732855083552,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,93.92739376017595,78.39168986884631,1.4565014834700002e-05,695.5474054397255,0.0004401443339154417
PVT2,LCA-3010,154761.78677978387,4.2852378184790405,1.542779105192902,38294.21006935044,106298.01653726878,0.26478601503397375,61.14898709454546,1312.4957560817181,0.03516700490909091,61.14898709454546,7.1029930173636355,0.7892327773636364,99.53443555042108,70.66546550412077,1.549331491789091e-05,729.2435316401896,0.0011091681594522455
PVT3,LCA-3010,154679.62054033173,4.025873386476131,1.57369808588832,40741.44888707075,104160.71604946945,0.2811081928288646,61.14898709454546,1312.4957560817181,0.03516700490909091,61.14898709454546,7.1029930173636355,0.7892327773636364,99.50925035228259,70.66546550412077,1.549331491789091e-05,684.8181057758978,0.0011091681594522455
PVT4,LCA-3010,147652.79778063355,31.249456176584886,22.14483795152712,4791.482878367772,6759.531799440323,0.41477467016877934,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,94.28639913309804,89.40737870040304,1.4492367503608333e-05,650.9952665811253,0.0010022496315455667
PVT5,LCA-3010,148147.5756988941,30.94391503678464,22.234595758043042,4854.335723259354,6753.945707354481,0.4181445263892353,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,94.26212174419777,89.35958309554974,1.4496246148750001e-05,650.4968740731947,0.0010022496315455667
PVT6,LCA-3010,148147.5756988941,30.94391503678464,22.234595758043042,4854.335723259354,6753.945707354481,0.4181445263892353,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,94.26212174419777,89.35958309554974,1.4496246148750001e-05,650.4968740731947,0.0010022496315455667
PVT7,LCA-3010,148147.5756988941,30.94391503678464,22.234595758043042,4854.335723259354,6753.945707354481,0.4181445263892353,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,94.26212174419777,89.35958309554974,1.4496246148750001e-05,650.4968740731947,0.0010022496315455667
PVT8,LCA-3010,141757.4618216081,43.8002554430124,26.35815775550976,3259.714602639699,5415.837818296958,0.3757141948891898,61.18773154833334,1312.4450517067019,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,93.10121975023158,85.35476102734886,1.4359163381499997e-05,692.3615598962664,0.0010022496315455667
PVT9,LCA-3010,139170.90698978788,7.6249139204225465,4.5523351323954335,18789.549988528535,31455.85446135929,0.37390122625925476,61.14898709454546,1312.4957560817181,0.03516700490909091,61.14898709454546,7.1029930173636355,0.7892327773636364,98.90620047154107,100.90636915205693,1.6351924686700002e-05,669.5666061930266,0.00044043304036619997
RAW_FSF,LCA-3010,121913.74043478262,63.512173913043476,22.509565217391305,1936.1231322141991,5464.3405367324885,0.2616690651878821,60.65347826086956,1312.1708695652173,,,,,,,,,
SEP,LCA-3010,168748.24875,43.47833333333333,9.187499999999998,3884.4532732939847,18615.005829542886,0.17434759129272911,44.17000000000001,1316.1925,,,,,,,,,
